number of query genes: 152
hit	support	identity	queries
NCU06140-t26_1 (hypothetical protein)	18	query	NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU05712-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU09848-t26_1, NCU02613-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU07760-t26_1, NCU04496-t26_1, NCU04122-t26_1
NCU01697-t26_1 (hypothetical protein)	17	query	NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU10610-t26_1, NCU05712-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU02613-t26_1, NCU05798-t26_1, NCU06034-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU03035-t26_1 (hypothetical protein)	16	query	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU05648-t26_1, NCU03132-t26_1, NCU02246-t26_1, NCU09937-t26_1, NCU09337-t26_1, NCU02950-t26_1, NCU09848-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU04122-t26_1
NCU01382-t26_1 (hypothetical protein)	16	query	NCU05916-t26_1, NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU09337-t26_1, NCU01697-t26_1, NCU05712-t26_1, NCU09954-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU09848-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU06056-t26_1 (hypothetical protein)	15	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU04251-t26_1 (chitin synthase 3)	14	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU03022-t26_1 (F-box domain-containing protein)	14	new	NCU04645-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU08169-t26_1, NCU05798-t26_1, NCU08433-t26_1, NCU04122-t26_1
NCU02519-t26_1 (hypothetical protein)	14	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU09764-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU00241-t26_1 (Septal pore-associated protein, putative)	14	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU08169-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU02246-t26_1 (hypothetical protein)	14	query	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01382-t26_1, NCU01380-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU09848-t26_1, NCU02613-t26_1, NCU05798-t26_1, NCU06140-t26_1
NCU12021-t26_1 (hypothetical protein)	14	new	NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU05798-t26_1 (Septal pore-associated protein, putative)	13	query	NCU04645-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU05648-t26_1, NCU03132-t26_1, NCU02246-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU04122-t26_1
NCU06266-t26_1 (histone-lysine N-methyltransferase)	13	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09337-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU01789-t26_2 (Hyphal anastamosis-5 protein)	13	query	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU02246-t26_1, NCU09307-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1
NCU01789-t26_1 (Hyphal anastamosis-5 protein)	13	query	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU07191-t26_1, NCU03132-t26_1, NCU02246-t26_1, NCU09307-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1
NCU04747-t26_1 (serine/threonine protein kinase Kin1)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU06774-t26_1 (intracellular protein transporter)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU08826-t26_1 (hypothetical protein)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU06285-t26_1 (dipeptidase-5)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU02173-t26_1 (zinc finger transcription factor-52)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU05726-t26_1 (mucin)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU03947-t26_1 (ubiquitin-6)	13	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU07191-t26_1, NCU02175-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU00832-t26_1
NCU10610-t26_1 (hypothetical protein)	13	query	NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU09337-t26_1, NCU01697-t26_1, NCU05629-t26_1, NCU09848-t26_1, NCU02613-t26_1, NCU05798-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU07069-t26_1 (pre-mRNA splicing factor)	12	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU09764-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU09562-t26_1 (hypothetical protein)	12	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01382-t26_1, NCU09337-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06140-t26_1
NCU09527-t26_1 (hypothetical protein)	12	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02175-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU06975-t26_1 (hypothetical protein)	12	new	NCU04645-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09937-t26_1, NCU09337-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU07757-t26_1 (transcription initiation factor-6)	12	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1
NCU00073-t26_1 (hypothetical protein)	12	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU08338-t26_1 (hypothetical protein)	12	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU07389-t26_1 (Hyphal anastamosis protein 9)	12	new	NCU05916-t26_1, NCU02110-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU04732-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU09307-t26_1, NCU03035-t26_1, NCU00321-t26_1, NCU05917-t26_1, NCU02988-t26_1
NCU05629-t26_1 (hypothetical protein)	12	query	NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU05712-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU08839-t26_1, NCU04496-t26_1
NCU05010-t26_1 (hypothetical protein)	11	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1
NCU06859-t26_1 (hypothetical protein)	11	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU02558-t26_1
NCU06560-t26_1 (hypothetical protein)	11	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU06688-t26_1 (F-box domain-containing protein)	11	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU09245-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU04122-t26_1
NCU00347-t26_1 (peroxin-26 Pex26-Penicillium chrysogenum)	11	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU06362-t26_1 (guanine triphosphate binding-22)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06140-t26_1, NCU00821-t26_1
NCU07999-t26_1 (GPI ethanolamine phosphate transferase 1)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU01267-t26_1 (palmitoyltransferase pfa3)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU07483-t26_1 (manganese ion homeostasis protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU00832-t26_1
NCU05602-t26_1 (hypothetical protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU04378-t26_1 (DNA replication initiation factor Cdc45)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU03054-t26_1 (hypothetical protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU02758-t26_1 (G2/mitotic-specific cyclin-B)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU06130-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU17058-t26_1 (FF domain-containing protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU10232-t26_1 (hypothetical protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU05559-t26_1 (hypothetical protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU07000-t26_1 (hypothetical protein)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU01269-t26_1 (nuclear division-34)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU02347-t26_1 (Sec7-like-1)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU00213-t26_1 (nuclear protein bimA)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU05182-t26_2 (hypothetical protein, variant 1)	11	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU08600-t26_1 (hypothetical protein)	11	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU09159-t26_1 (hypothetical protein)	11	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1
NCU01098-t26_1 (hypothetical protein)	11	query	NCU01789-t26_2, NCU01789-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU09954-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1
NCU09712-t26_2 (hypothetical protein, variant 1)	11	query	NCU09712-t26_1, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU12022-t26_1 (hypothetical protein)	11	query	NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU09712-t26_1 (hypothetical protein)	11	query	NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU04122-t26_1
NCU05245-t26_1 (peroxisome assembly protein 12)	10	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU01211-t26_1 (hypothetical protein)	10	new	NCU04645-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU04122-t26_1
NCU00953-t26_1 (hypothetical protein)	10	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1
NCU01013-t26_1 (porphyrin-2)	10	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU03899-t26_1 (HEC/Ndc80p family protein)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU02776-t26_1 (cell division control protein Cdc6)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU03237-t26_1 (mitotic check point protein)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03132-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU02558-t26_1
NCU03799-t26_1 (pre-mRNA splicing factor prp45)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU00095-t26_1 (tetratricopeptide repeat protein 1)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU08706-t26_1 (AAA family ATPase)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU09642-t26_2 (high affinity sulfate transporter 1, variant 1)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU09642-t26_1 (high affinity sulfate transporter 1)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU05972-t26_1 (sporulation-specific protein 6)	10	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1, NCU02558-t26_1, NCU00821-t26_1
